ticker,loss,mae,mape,r2
AAPL,0.0014997711405158,0.0276219863444566,0.04148905,0.7892332038149981
MSFT,0.0008587146294303,0.0235000234097242,0.025359778,0.5987976682202368
AMZN,0.0022832667455077,0.0413836203515529,0.044495493,-0.0662879541972334
NVDA,0.0041338121518492,0.0566217340528965,0.061241657,-0.95387775486514
META,0.002961631398648,0.0522478967905044,0.05685821,-0.0231821492234114
AVGO,0.0020318005699664,0.0368363633751869,0.04166067,0.150693611313544
GOOGL,0.0024107876233756,0.032642975449562,0.039030403,0.8570585781973479
GOOG,0.0047172349877655,0.0544882975518703,0.065664046,0.711245734195185
TSLA,0.0012447119224816,0.0242754407227039,0.07865509,0.5760822810458825
ADBE,0.001550042303279,0.0276223365217447,0.04531403,0.7320374260964808
COST,0.001188710797578,0.0252725221216678,0.029841885,0.6333420419034048
PEP,0.002184263896197,0.0302803609520196,0.07942338,0.8630498561442588
CSCO,0.0013161753304302,0.0304411593824625,0.058915485,0.4944122018154919
NFLX,0.0019143611425533,0.0396060757339,0.042369913,0.2760780823990838
AMD,0.0009990386897698,0.0242255087941885,0.0338207,0.9239499568315708
CMCSA,0.0016820592572912,0.0314709320664405,0.050533384,0.8329303852943274
TMUS,0.000815570121631,0.0236103255301713,0.026714873,0.4470400938314508
INTC,0.002383111976087,0.0365168824791908,0.08708323,0.9402660410870228
INTU,0.0011518893297761,0.0263776835054159,0.029933317,0.4030311917661883
AMGN,0.0058639501221477,0.0432502478361129,0.06658368,0.7458123643281342
QCOM,0.0130372997373342,0.1017411425709724,0.13431433,-0.8763115551443097
TXN,0.0032212403602898,0.0448898449540138,0.076985896,0.8281483271313873
AMAT,0.002220460679382,0.0394039265811443,0.042825352,-0.1656582012465317
HON,0.0020330180414021,0.0384963676333427,0.06875717,0.5541817654756479
SBUX,0.0031162993982434,0.0242034941911697,0.15602414,0.8890474125254344
BKNG,0.0004614379722625,0.0166209191083908,0.01958571,0.7709901877648505
ISRG,0.0006207453552633,0.0188505575060844,0.020318251,0.5921835226158944
MDLZ,0.000924103311263,0.0244483519345521,0.038204256,0.8601456364898181
ADP,0.0017046290449798,0.0322297811508178,0.050961882,-0.7483231839173963
GILD,0.001873213914223,0.0391427129507064,0.112457745,0.8341710947359937
LRCX,0.0012389657786116,0.0303147658705711,0.032887068,0.5245171151554561
VRTX,0.0006572885904461,0.0217981282621622,0.027221559,0.7424637808756369
ADI,0.0017569360788911,0.0347982794046402,0.047242366,0.7124731417781307
REGN,0.0008558665867894,0.0215321462601423,0.024089955,0.8491795396869701
MU,0.0046119508333504,0.0533523559570312,0.06349066,0.7566134426617759
SNPS,0.0011937541421502,0.0273976605385541,0.031375095,0.7436346418075692
PANW,0.0004412558628246,0.0172174498438835,0.027613716,0.7501038310879349
KLAC,0.005671554710716,0.0662666261196136,0.075820714,-1.2051513784547412
PDD,0.0013331791851669,0.0241933353245258,0.03154423,0.7906325156209868
MELI,0.0012221101205796,0.0239183623343706,0.031350404,0.8442838764389657
CDNS,0.0007576395291835,0.0235024932771921,0.027359463,0.8649590325277647
PYPL,0.0005852488102391,0.0206246618181467,0.07710871,0.6847390206798114
CSX,0.0028730179183185,0.0484398268163204,0.063192755,0.8239292727335187
MAR,0.0010048034600913,0.0271439272910356,0.029844057,0.6784295124050583
ASML,0.0029643448069691,0.0489949733018875,0.057013422,0.2433629434453385
ORLY,0.0024749366566538,0.0475311763584613,0.05369406,0.5176302393875545
MNST,0.0026671073865145,0.0429927445948123,0.05558513,0.8623832438663044
CTAS,0.0008099810802377,0.0178702678531408,0.019498792,0.7925544522992071
ABNB,0.0046455413103103,0.0627001821994781,0.06839772,-0.1275937004745659
LULU,0.001816957606934,0.0241657253354787,0.050461005,0.9340516046943628
NXPI,0.0020965780131518,0.0386226214468479,0.04834056,0.7772197981908211
MRVL,0.0021272930316627,0.0370077304542064,0.0521894,0.6646977203994321
WDAY,0.000301790802041,0.0139268720522522,0.01911919,0.9183004006032496
PCAR,0.0011060566175729,0.0284172464162111,0.032589696,0.8383638376941032
CPRT,0.0003627086989581,0.0153429321944713,0.016706226,0.7541369937520046
ADSK,0.0028335561510175,0.0478214845061302,0.064797685,0.9086913181845364
CRWD,0.0010094548342749,0.0259650759398937,0.029469743,0.5853483365311356
MCHP,0.0023801149800419,0.0398097597062587,0.047935423,0.5446394017660616
KDP,0.0009186142124235,0.0197428725659847,0.088442296,0.9607319976001384
ODFL,0.0036148871295154,0.035702396184206,0.046723332,0.861188240575806
PAYX,0.0015614634612575,0.0324391275644302,0.068547815,0.3842788062202342
ROST,0.0003166948736179,0.0139195406809449,0.016607547,0.9513742171277522
KHC,0.001791822607629,0.0249878652393817,0.058307797,0.8315491814078433
FTNT,0.0019096640171483,0.0304833278059959,0.05540541,0.8670296541799032
DXCM,0.003828439861536,0.0499051101505756,0.055009216,0.069251801498288
EXC,0.0005378592177294,0.0188889391720294,0.091101654,0.5891151656007783
AEP,0.000809451797977,0.022112488746643,0.05732295,0.8987862387861476
CEG,0.0044432082213461,0.0571195743978023,0.07094102,0.3650001336513383
IDXX,0.0025832236278802,0.0377565436065197,0.050989375,0.7860461771815083
AZN,0.0015047260094434,0.0242450237274169,0.034601018,0.957039218760396
EA,0.0013771769590675,0.0260321255773305,0.044423774,0.8490992715719611
BKR,0.0005488760070875,0.0183325130492448,0.0261919,0.8138206452710303
CTSH,0.0014083308633416,0.0323145352303981,0.04801977,0.9169754565421152
VRSK,0.0013082778314128,0.0242421347647905,0.030798668,0.8592156855325428
