ticker,loss,mae,mape,r2
AAPL,0.002075710799545,0.0356042347848415,0.055822343,0.5688745772753956
MSFT,0.0060993926599621,0.070665642619133,0.075791575,-1.841035090360104
AMZN,0.0060306219384074,0.0727324113249778,0.07882486,-1.968233332139348
NVDA,0.0363416448235511,0.189830020070076,0.20665555,-18.35356226015816
META,0.0048012984916567,0.0678626671433448,0.07356969,-0.6976415447775681
AVGO,0.011488726362586,0.1011784747242927,0.11185996,-4.195089160426922
GOOGL,0.0067450562492012,0.0605856031179428,0.07183803,0.6321106461146259
GOOG,0.0108840791508555,0.0804533287882804,0.09526524,0.4074273802416872
TSLA,0.0040466282516717,0.0564340986311435,0.1872778,-0.4523353387149691
ADBE,0.0013563258107751,0.0246722865849733,0.04014325,0.793671948648089
COST,0.0092137018218636,0.0935685187578201,0.110923186,-2.053153586659754
PEP,0.0022971294820308,0.0316917859017849,0.09103179,0.8518219784652462
CSCO,0.0007671485655009,0.02217155136168,0.044427034,0.6824642332343058
NFLX,0.0050441189669072,0.0683659166097641,0.07308086,-0.9054912211549953
AMD,0.0034928950481116,0.0535552501678466,0.067404866,0.7217416403874151
CMCSA,0.001251223613508,0.0246077068150043,0.04018697,0.8803456464628513
TMUS,0.0020962585695087,0.0362118445336818,0.039997224,-0.1225719120158039
INTC,0.0019019118044525,0.0314643755555152,0.06983324,0.9526022955029212
INTU,0.002381186466664,0.0422911681234836,0.046989847,-0.1722909061834041
AMGN,0.0035048224963247,0.0308252237737178,0.050653458,0.7945104505266454
QCOM,0.0094672515988349,0.0819154530763626,0.09648035,-0.520674613573096
TXN,0.0041484651155769,0.0520241558551788,0.07862358,0.7659511769396747
AMAT,0.0099078882485628,0.0968734547495842,0.10257584,-4.8001063700135305
HON,0.0013109996216371,0.0310871228575706,0.054547295,0.6837014246304993
SBUX,0.0045320517383515,0.0325744450092315,0.27555296,0.8223442531439821
BKNG,0.0006465689511969,0.0190071687102317,0.022363909,0.6511201236031372
ISRG,0.0032114395871758,0.0507341474294662,0.054324742,-1.0248851654183189
MDLZ,0.0011775540187954,0.0286840219050645,0.045379058,0.8148826078279691
ADP,0.001963147893548,0.0352149158716201,0.055846736,-1.0008656276043495
GILD,0.0011892525944858,0.0273869130760431,0.08077724,0.91313792055123
LRCX,0.0086589604616165,0.0911121144890785,0.09870477,-2.368024338303836
VRTX,0.0055051557719707,0.0699668079614639,0.0858214,-1.535546729095708
ADI,0.0039080749265849,0.0498170964419841,0.059009086,0.3863189569888884
REGN,0.0037292689085006,0.0546303167939186,0.06040251,0.2161162214907848
MU,0.0079610999673604,0.0779279768466949,0.0937206,0.577241780371514
SNPS,0.0009323386475443,0.025757897645235,0.030076131,0.789745921839911
PANW,0.0008661920437589,0.0232460554689168,0.036752924,0.4474509197636525
KLAC,0.0045796511694788,0.0597903877496719,0.06328786,-0.946261111085176
MELI,0.0013194464845582,0.0291136931627988,0.038969766,0.7741229804805475
CDNS,0.001802367856726,0.0378150306642055,0.042040773,0.6590876139036235
PYPL,0.0005130171775817,0.0181743092834949,0.07366647,0.7774234197421978
CSX,0.0013478542678058,0.0278082806617021,0.037454065,0.925888186035949
MAR,0.0012084876652806,0.0266278721392154,0.030621054,0.6558083547844576
ORLY,0.0057240589521825,0.0748084634542465,0.085026495,-0.1896891903028796
MNST,0.0011576553806662,0.0261759273707866,0.035919715,0.9408670348913158
CTAS,0.0029652477242052,0.045663084834814,0.05031518,0.3295304853326855
ABNB,0.0016576400958001,0.0326572842895984,0.035865005,0.4867482912819934
LULU,0.0052052740938961,0.0570688620209693,0.11154162,0.8183833656564925
NXPI,0.0019636047072708,0.0353490822017192,0.044002306,0.7725406930014579
MRVL,0.0050165061838924,0.0609058514237403,0.08399542,0.3336913783993037
WDAY,0.0005037972005084,0.0191224738955497,0.025268923,0.8366064830219966
PCAR,0.0067782611586153,0.0805218964815139,0.08850943,-0.2527151079441665
CPRT,0.0014204394537955,0.0334370285272598,0.035805035,0.0413162310832267
ADSK,0.0022505566012114,0.0418725050985813,0.061398193,0.9317246804328294
CRWD,0.001510398928076,0.0319053567945957,0.034576613,0.4165818529681288
MCHP,0.0061117652803659,0.0618688762187957,0.06986131,-0.096105251343306
KDP,0.0011058838572353,0.0211278963834047,0.098021604,0.9533684524253886
ODFL,0.0030909171327948,0.0423086546361446,0.04994125,0.8502411195479683
PAYX,0.001996572362259,0.037657007575035,0.07779048,0.1968719629451706
ROST,0.0008146207546815,0.0249155387282371,0.028203838,0.8706042677130642
KHC,0.0020982034038752,0.0276528019458055,0.07124597,0.7850467854649708
FTNT,0.0024194994475692,0.0351001061499118,0.06431396,0.8237245465279839
DXCM,0.0024129375815391,0.035753708332777,0.03960165,0.5107328559891422
EXC,0.0007461721543222,0.0224617943167686,0.112419255,0.3517349948980643
AEP,0.0011770834680646,0.0260656122118234,0.06579555,0.8422774052516732
IDXX,0.0020212768577039,0.035107497125864,0.049985897,0.8302389517561245
EA,0.0037104007788002,0.0499608889222145,0.08630119,0.6333012676276424
BKR,0.0009860546560958,0.0252384562045335,0.03653972,0.7674745419958354
CTSH,0.0013487614924088,0.0318761020898819,0.044017486,0.9228204282218324
VRSK,0.0032117841765284,0.0515802949666976,0.067552075,0.5368918789128374
FAST,0.0011962535791099,0.0294484756886959,0.03465494,0.8975798151292789
CSGP,0.002560980618,0.0371840298175811,0.043197677,0.6675517534589496
DDOG,0.0020550498738884,0.0274700112640857,0.03404042,0.263771267129638
ON,0.0011418625945225,0.0293097980320453,0.07603898,0.8442876180990129
