ticker,loss,mae,mape,r2
AAPL,0.007541008293628693,0.06757793575525284,0.07984502605798796,0.5033327181818006
MSFT,0.0018695263424888253,0.03215901553630829,0.05968528369939837,0.9172039160048204
AMZN,0.0011300572659820318,0.021353019401431084,611571257271.2468,0.9726625354994198
NVDA,0.008108781650662422,0.07567804306745529,0.22701982235176515,0.5715125362929525
META,0.002872863784432411,0.044125691056251526,1647943056592.218,0.9110370665857886
AVGO,0.0057054986245930195,0.054237306118011475,0.10939736363242243,0.6298933592700321
GOOGL,0.002197673311457038,0.03689490258693695,0.0782374838710497,0.8929595662649735
GOOG,0.002584002912044525,0.040474772453308105,0.08723066042759875,0.870662832717547
TSLA,0.002758575137704611,0.04093664139509201,0.09196625740877554,0.7852617787001381
ADBE,0.000831192301120609,0.018043456599116325,0.07125606293573541,0.9883203863511687
COST,0.0004686776374001056,0.014134294353425503,0.028968359202573433,0.9135560432843566
PEP,0.0032244762405753136,0.048451341688632965,0.0581969933486572,0.6172999764909057
CSCO,0.01122170127928257,0.09564416110515594,0.17225541344232287,0.18437623295923944
NFLX,0.0013191490434110165,0.025573818013072014,0.07203090717188554,0.9226066510798471
AMD,0.0021680358331650496,0.0377514474093914,0.11388163893718668,0.8162210818327762
CMCSA,0.0009818688267841935,0.01974371261894703,757714421461.8289,0.9621339113990208
TMUS,0.002265168819576502,0.03751686215400696,0.05353969162556745,0.370370192600348
INTC,0.0011721090413630009,0.021591469645500183,439442036364.69073,0.9036417645845798
INTU,0.0008852786268107593,0.019333111122250557,0.040264375823508516,0.9399608955291344
AMGN,0.0031430369708687067,0.04103349521756172,0.06921158283519832,0.8205529604539658
QCOM,0.0008178626885637641,0.01731230691075325,0.042681535410431196,0.8232508447626925
TXN,0.0015344263520091772,0.026814041659235954,0.038378993049301494,0.8672440102765099
AMAT,0.0023147910833358765,0.03915245085954666,0.08166527701417142,0.8149124770961895
HON,0.0018902505980804563,0.02991589531302452,0.043589352983828177,0.7964055290416394
SBUX,0.0010688340989872813,0.021275434643030167,0.035061631003080095,0.9015370984764446
BKNG,0.012945055030286312,0.09345687180757523,0.16013978651113667,0.46277735767622663
ISRG,0.0008432386675849557,0.018116360530257225,0.03482784663380728,0.9621934833563175
MDLZ,0.01354231033474207,0.10069887340068817,0.12916611237036613,0.21373898780971123
